timestamp,temp,pressure,fuel,speed
2026-04-04T12:00:00Z,25.0,8.2,1000.0,0.0
2026-04-04T12:00:01Z,25.1,8.23,999.9,0.0
2026-04-04T12:00:02Z,25.2,8.27,999.9,0.0
2026-04-04T12:00:03Z,25.2,8.27,999.8,0.0
2026-04-04T12:00:04Z,25.3,8.3,999.8,0.0
2026-04-04T12:00:05Z,25.3,8.27,999.7,0.0
2026-04-04T12:00:06Z,25.4,8.28,999.7,0.0
2026-04-04T12:00:07Z,25.4,8.3,999.6,0.0
2026-04-04T12:00:08Z,25.5,8.33,999.6,0.0
2026-04-04T12:00:09Z,25.6,8.35,999.5,0.0
2026-04-04T12:00:10Z,25.6,8.36,999.5,0.0
2026-04-04T12:00:11Z,25.7,8.38,999.4,0.0
2026-04-04T12:00:12Z,25.7,8.38,999.4,0.0
2026-04-04T12:00:13Z,25.8,8.39,999.3,0.0
2026-04-04T12:00:14Z,25.8,8.34,999.3,0.0
2026-04-04T12:00:15Z,25.9,8.34,999.2,0.0
2026-04-04T12:00:16Z,25.9,8.35,999.2,0.0
2026-04-04T12:00:17Z,26.0,8.35,999.1,0.0
2026-04-04T12:00:18Z,26.0,8.36,999.1,0.0
2026-04-04T12:00:19Z,26.1,8.37,999.0,0.0
2026-04-04T12:00:20Z,28.2,8.5,998.6,4.0
2026-04-04T12:00:21Z,30.3,8.5,997.8,8.0
2026-04-04T12:00:22Z,32.4,8.5,996.6,12.0
2026-04-04T12:00:23Z,34.5,8.5,995.0,16.0
2026-04-04T12:00:24Z,36.6,8.5,993.0,20.0
2026-04-04T12:00:25Z,38.7,8.5,990.6,24.0
2026-04-04T12:00:26Z,40.8,8.5,987.8,28.0
2026-04-04T12:00:27Z,42.9,8.5,984.6,32.0
2026-04-04T12:00:28Z,45.0,8.5,981.0,36.0
2026-04-04T12:00:29Z,47.1,8.5,977.0,40.0
2026-04-04T12:00:30Z,49.2,8.5,972.6,44.0
2026-04-04T12:00:31Z,51.3,8.5,967.8,48.0
2026-04-04T12:00:32Z,53.4,8.5,962.6,52.0
2026-04-04T12:00:33Z,55.5,8.5,957.0,56.0
2026-04-04T12:00:34Z,57.6,8.5,951.0,60.0
2026-04-04T12:00:35Z,59.7,8.5,944.6,64.0
